订购日期,所属区域,产品类别,数量,销售额,成本
3/21/2007,苏州,宠物用品,16,"19,269.69 ","18,982.85 "
4/28/2007,苏州,宠物用品,40,"39,465.17 ","40,893.08 "
4/28/2007,苏州,宠物用品,20,"21,015.94 ","22,294.09 "
5/31/2007,苏州,宠物用品,20,"23,710.26 ","24,318.37 "
6/13/2007,苏州,宠物用品,16,"20,015.07 ","20,256.69 "
7/16/2007,苏州,宠物用品,200,"40,014.12 ","43,537.56 "
9/14/2007,苏州,宠物用品,100,"21,423.95 ","22,917.34 "
10/19/2007,苏州,宠物用品,200,"40,014.12 ","44,258.36 "
11/20/2007,苏州,宠物用品,400,"84,271.49 ","92,391.15 "
3/21/2007,常熟,宠物用品,212,"48,705.66 ","51,700.03 "
4/28/2007,常熟,宠物用品,224,"47,192.03 ","50,558.50 "
4/28/2007,常熟,宠物用品,92,"21,136.42 ","22,115.23 "
5/31/2007,常熟,宠物用品,100,"27,499.51 ","30,712.18 "
6/13/2007,常熟,宠物用品,140,"29,993.53 ","32,726.66 "
7/16/2007,常熟,宠物用品,108,"34,682.76 ","35,738.66 "
9/14/2007,常熟,宠物用品,72,"12,492.95 ","11,098.92 "
10/19/2007,常熟,宠物用品,32,"30,449.31 ","29,398.00 "
11/20/2007,常熟,宠物用品,12,"12,125.30 ","11,641.51 "
3/23/2007,苏州,宠物用品,20,"22,920.96 ","22,707.05 "
9/24/2007,苏州,服装,60,"17,794.93 ","18,667.47 "
3/23/2007,常熟,宠物用品,24,"8,325.07 ","8,601.75 "
4/28/2007,苏州,宠物用品,4000,"67,654.58 ","35,420.34 "
5/31/2007,苏州,宠物用品,100,"20,199.94 ","21,929.73 "
6/13/2007,苏州,宠物用品,42,"5,455.54 ","3,592.30 "
7/16/2007,苏州,宠物用品,120,"14,260.87 ","12,651.79 "
9/14/2007,苏州,宠物用品,30,"3,872.33 ","3,317.89 "
10/19/2007,苏州,宠物用品,60,"5,470.23 ","5,275.95 "
11/20/2007,苏州,宠物用品,30,"3,108.99 ","2,871.84 "
9/24/2007,常熟,服装,150,"12,373.67 ","11,757.98 "
11/30/2007,苏州,彩盒,40,982.18 ,880.03 
11/30/2007,苏州,彩盒,640,"5,364.89 ",626.80 
11/30/2007,苏州,彩盒,260,"2,719.54 ","2,444.01 "
11/30/2007,苏州,彩盒,180,"1,629.05 ","1,468.46 "
11/30/2007,苏州,彩盒,80,"1,578.61 ",883.66 
11/30/2007,苏州,暖靴,160,"2,172.07 ","1,961.18 "
11/30/2007,苏州,睡袋,120,"1,967.32 ","1,771.36 "
11/30/2007,苏州,睡袋,160,"1,436.18 ","1,284.30 "
11/30/2007,苏州,睡袋,100,905.03 ,815.81 
11/30/2007,苏州,睡袋,360,"3,685.39 ","3,299.40 "
11/30/2007,苏州,睡袋,240,"32,776.86 ","34,040.29 "
11/30/2007,苏州,睡袋,120,"17,883.95 ","18,273.77 "
11/30/2007,苏州,睡袋,30,"7,150.47 ","7,235.60 "
12/12/2007,苏州,睡袋,240,"34,201.17 ","27,526.63 "
4/28/2007,苏州,睡袋,80,"8,213.50 ","6,359.26 "
4/28/2007,常熟,宠物用品,80,"8,943.46 ","6,810.46 "
5/31/2007,常熟,宠物用品,240,"46,040.72 ","36,140.10 "
6/13/2007,常熟,宠物用品,30,"2,325.63 ","2,117.62 "
7/16/2007,常熟,宠物用品,260,"24,070.79 ","21,964.92 "
9/14/2007,常熟,宠物用品,150,"16,824.63 ","14,276.14 "
10/19/2007,常熟,宠物用品,60,"6,894.54 ","5,974.57 "
11/20/2007,常熟,宠物用品,60,"7,415.30 ","6,650.99 "
5/31/2007,苏州,宠物用品,180,"13,673.35 ","11,660.44 "
12/4/2007,昆山,彩盒,200,"8,071.07 ","7,483.35 "
12/4/2007,昆山,彩盒,160,"6,456.86 ","5,976.42 "
12/4/2007,昆山,彩盒,100,"4,035.54 ","3,703.01 "
12/12/2007,昆山,彩盒,120,"3,169.08 ","3,004.03 "
11/30/2007,常熟,彩盒,96,"3,646.23 ","2,896.54 "
11/30/2007,常熟,彩盒,210,"14,020.52 ","9,550.24 "
11/30/2007,常熟,彩盒,90,"7,083.70 ","5,560.08 "
11/30/2007,常熟,彩盒,240,"4,237.31 ","4,373.98 "
11/30/2007,常熟,彩盒,240,"4,237.31 ","4,374.19 "
12/4/2007,昆山,暖靴,100,"1,765.55 ","1,825.07 "
12/4/2007,昆山,暖靴,100,"7,596.30 ","5,805.03 "
12/4/2007,昆山,暖靴,100,897.61 ,837.00 
12/4/2007,昆山,暖靴,120,"2,109.75 ","1,997.58 "
12/4/2007,昆山,暖靴,20,219.58 ,202.79 
11/30/2007,常熟,暖靴,460,"3,856.01 ","3,454.60 "
11/30/2007,常熟,睡袋,100,"2,106.79 ","1,909.00 "
11/30/2007,常熟,睡袋,60,"1,495.52 ","1,328.40 "
11/30/2007,常熟,睡袋,60,"6,373.77 ","5,913.16 "
11/30/2007,常熟,睡袋,90,"10,929.33 ","10,024.50 "
11/30/2007,常熟,睡袋,102,"13,188.64 ","11,681.87 "
11/30/2007,常熟,睡袋,72,"8,022.41 ","7,118.80 "
11/30/2007,常熟,睡袋,30,"3,627.53 ","3,226.03 "
12/12/2007,常熟,睡袋,60,"14,478.97 ","14,547.91 "
5/31/2007,苏州,睡袋,420,"98,735.62 ","95,163.20 "
6/13/2007,苏州,睡袋,150,"38,589.81 ","38,767.63 "
7/16/2007,苏州,睡袋,42,"7,686.36 ","7,640.09 "
9/14/2007,苏州,睡袋,30,"5,959.83 ","5,904.75 "
10/19/2007,苏州,睡袋,48,"21,553.32 ","17,921.21 "
11/20/2007,苏州,睡袋,48,"23,023.92 ","19,270.44 "
4/28/2007,常熟,睡袋,72,"26,112.89 ","21,935.29 "
5/31/2007,常熟,宠物用品,180,"70,449.78 ","59,218.65 "
3/23/2007,苏州,宠物用品,150,"41,750.00 ","35,834.38 "
3/21/2007,苏州,宠物用品,60,"18,898.77 ","16,033.91 "
3/23/2007,苏州,宠物用品,42,"18,637.95 ","15,879.07 "
10/24/2007,苏州,服装,90,"27,954.25 ","24,237.50 "
5/31/2007,常熟,睡袋,30,"7,390.82 ","7,012.14 "
6/13/2007,常熟,睡袋,18,"10,329.79 ","8,678.10 "
7/16/2007,常熟,睡袋,300,"35,830.22 ","32,115.05 "
9/14/2007,常熟,睡袋,90,"40,412.48 ","33,468.42 "
10/19/2007,常熟,睡袋,525,"9,269.12 ","9,585.52 "
11/20/2007,常熟,睡袋,525,"9,269.12 ","9,616.95 "
7/19/2007,昆山,睡袋,450,"7,944.96 ","8,179.11 "
8/22/2007,昆山,睡袋,266,"4,696.36 ","4,870.95 "
9/18/2007,昆山,睡袋,266,"4,696.36 ","4,871.19 "
10/22/2007,昆山,睡袋,228,"4,025.45 ","4,174.36 "
11/27/2007,昆山,睡袋,400,"3,353.06 ",388.00 
12/12/2007,昆山,睡袋,402,"48,012.49 ","44,429.38 "
6/18/2007,昆山,睡袋,700,"6,698.69 ","7,221.62 "
6/18/2007,苏州,睡袋,102,"24,614.25 ","23,950.69 "
7/19/2007,苏州,睡袋,246,"57,830.87 ","55,992.58 "
8/22/2007,苏州,睡袋,54,"14,148.71 ","13,818.11 "
9/18/2007,苏州,睡袋,114,"29,328.26 ","28,500.57 "
10/22/2007,苏州,睡袋,102,"18,666.88 ","17,843.89 "
11/27/2007,苏州,睡袋,30,"5,959.83 ","5,703.44 "
12/12/2007,苏州,睡袋,24,"7,454.47 ","6,569.78 "
11/30/2007,苏州,彩盒,24,"5,912.65 ","5,545.04 "
12/12/2007,苏州,彩盒,6,"2,877.54 ","2,696.49 "
3/16/2007,苏州,宠物用品,30,"13,470.83 ","12,278.49 "
7/19/2007,昆山,宠物用品,24,"11,511.96 ","10,578.05 "
8/22/2007,昆山,宠物用品,48,"17,408.59 ","15,880.05 "
9/18/2007,昆山,宠物用品,156,"55,351.24 ","50,482.60 "
3/23/2007,苏州,睡袋,36,"14,525.26 ","13,096.60 "
3/23/2007,常熟,宠物用品,90,"25,050.00 ","22,910.16 "
3/21/2007,常熟,宠物用品,78,"9,315.86 ","7,787.68 "
3/23/2007,常熟,宠物用品,30,"3,879.01 ","3,405.02 "
2/13/2007,昆山,宠物用品,48,"5,828.98 ","5,857.00 "
3/21/2007,昆山,宠物用品,18,"2,400.85 ","2,187.98 "
4/28/2007,昆山,宠物用品,48,"5,348.27 ","4,656.80 "
5/25/2007,昆山,宠物用品,30,"3,627.53 ","3,106.66 "
6/18/2007,昆山,宠物用品,66,"5,699.01 ","5,805.34 "
10/24/2007,常熟,服装,48,"4,376.18 ","4,255.84 "
9/24/2007,苏州,宠物用品,78,"8,083.39 ","7,503.87 "
1/24/2007,苏州,宠物用品,30,"3,382.73 ","3,106.62 "
2/13/2007,苏州,宠物用品,78,"7,221.24 ","7,215.70 "
3/21/2007,苏州,宠物用品,30,"2,959.89 ","2,922.39 "
4/28/2007,苏州,宠物用品,36,"4,037.91 ","3,828.85 "
5/25/2007,苏州,宠物用品,30,"3,275.91 ","3,310.02 "
6/18/2007,苏州,宠物用品,30,"3,447.27 ","3,490.45 "
7/19/2007,苏州,宠物用品,32,"3,954.83 ","4,172.49 "
8/22/2007,苏州,宠物用品,32,"4,154.23 ","4,415.71 "
9/18/2007,苏州,宠物用品,54,"7,014.27 ","5,362.94 "
1/24/2007,昆山,宠物用品,68,"6,981.48 ","5,905.90 "
7/16/2007,苏州,睡袋,56,"6,260.42 ","5,350.59 "
9/14/2007,苏州,睡袋,28,"2,997.28 ","2,638.30 "
10/19/2007,苏州,睡袋,40,"3,637.92 ","2,972.43 "
11/20/2007,苏州,睡袋,28,"2,787.49 ","2,361.28 "
3/21/2007,苏州,宠物用品,30,"2,423.55 ","2,079.58 "
6/18/2007,常熟,睡袋,48,"5,825.42 ","4,013.39 "
7/19/2007,常熟,睡袋,28,"2,635.86 ","2,665.67 "
8/22/2007,常熟,睡袋,26,"4,987.74 ","4,339.16 "
9/18/2007,常熟,睡袋,28,"4,010.91 ","3,060.90 "
10/22/2007,常熟,睡袋,18,"5,048.72 ","3,910.21 "
11/27/2007,常熟,睡袋,80,"3,228.43 ","2,912.97 "
12/12/2007,常熟,睡袋,60,"1,059.33 ","1,045.79 "
12/12/2007,昆山,彩盒,60,"1,059.33 ","1,045.75 "
12/12/2007,昆山,彩盒,336,"12,761.79 ","11,066.48 "
11/30/2007,常熟,彩盒,186,"12,418.18 ","8,386.68 "
12/12/2007,常熟,彩盒,24,"1,823.11 ","1,700.58 "
3/16/2007,常熟,宠物用品,78,"6,434.31 ","5,924.62 "
9/24/2007,苏州,睡袋,30,"3,186.89 ","2,893.68 "
11/15/2007,无锡,彩盒,20,"3,519.22 ","2,831.71 "
3/23/2007,常熟,睡袋,300,"55,169.64 ","47,568.46 "
9/24/2007,常熟,宠物用品,500,"45,436.87 ","47,821.34 "
1/24/2007,常熟,宠物用品,500,"86,274.42 ","75,570.53 "
2/13/2007,常熟,宠物用品,100,"33,248.66 ","22,872.76 "
3/21/2007,常熟,宠物用品,100,"13,568.01 ","10,418.61 "
4/28/2007,常熟,宠物用品,200,"29,124.11 ","22,402.94 "
5/25/2007,常熟,宠物用品,250,"11,665.22 ","9,740.15 "
6/18/2007,常熟,宠物用品,250,"11,665.22 ","9,723.77 "
7/19/2007,常熟,宠物用品,500,"4,450.96 ","3,669.71 "
8/22/2007,常熟,宠物用品,500,"23,330.44 ","19,384.85 "
9/18/2007,常熟,宠物用品,750,"57,194.82 ","48,373.73 "
11/30/2007,苏州,彩盒,500,"53,077.69 ","52,521.67 "
11/30/2007,苏州,睡袋,200,"21,720.68 ","21,644.27 "
11/30/2007,苏州,睡袋,250,"43,211.39 ","41,653.13 "
3/16/2007,苏州,宠物用品,200,"43,203.98 ","35,449.60 "
12/24/2007,无锡,暖靴,250,"15,689.63 ","13,427.45 "
7/16/2007,常熟,睡袋,200,"16,972.99 ","13,277.78 "
9/14/2007,常熟,睡袋,300,"18,827.56 ","12,963.65 "
10/19/2007,常熟,睡袋,250,"17,247.47 ","13,305.10 "
11/20/2007,常熟,睡袋,300,"13,998.27 ","11,652.46 "
3/21/2007,常熟,宠物用品,1000,"141,614.68 ","121,226.42 "
1/24/2007,苏州,宠物用品,750,"68,155.31 ","59,825.02 "
1/24/2007,昆山,宠物用品,75,"25,031.08 ","20,580.39 "
7/19/2007,昆山,宠物用品,300,"82,454.02 ","67,713.51 "
8/22/2007,昆山,宠物用品,100,"29,153.78 ","24,147.80 "
9/18/2007,昆山,宠物用品,100,"23,093.06 ","19,684.78 "
10/22/2007,昆山,宠物用品,250,"43,063.03 ","37,807.47 "
11/27/2007,昆山,宠物用品,500,"30,748.71 ","27,473.22 "
12/12/2007,昆山,宠物用品,200,"28,248.75 ","22,579.08 "
3/21/2007,苏州,宠物用品,300,"26,705.75 ","20,823.99 "
4/28/2007,苏州,宠物用品,300,"23,033.71 ","21,648.42 "
5/25/2007,苏州,宠物用品,350,"18,745.96 ","20,395.30 "
