date,us_yuan,aud_yuan,euro_yuan,pound_yuan,yen_yuan
2016/1/4,6.53,4.694,7.075,9.603,0.055
2016/1/5,6.52,4.670,7.011,9.588,0.055
2016/1/6,6.56,4.639,7.069,9.577,0.055
2016/1/7,6.59,4.621,7.202,9.620,0.056
2016/1/8,6.59,4.583,7.194,9.551,0.056
2016/1/11,6.57,4.594,7.134,9.591,0.056
2016/1/12,6.57,4.591,7.134,9.467,0.056
2016/1/13,6.57,4.569,7.149,9.522,0.056
2016/1/14,6.59,4.602,7.163,9.496,0.056
2016/1/15,6.58,4.516,7.183,9.413,0.056
2016/1/19,6.58,4.547,7.176,9.347,0.056
2016/1/20,6.58,4.544,7.168,9.347,0.057
2016/1/21,6.58,4.605,7.152,9.347,0.056
2016/1/22,6.58,4.608,7.106,9.413,0.056
2016/1/25,6.58,4.576,7.137,9.347,0.056
2016/1/26,6.58,4.608,7.152,9.413,0.056
2016/1/27,6.58,4.624,7.168,9.413,0.055
2016/1/28,6.57,4.653,7.188,9.467,0.055
2016/1/29,6.58,4.660,7.129,9.347,0.054
2016/2/1,6.58,4.680,7.168,9.481,0.054
2016/2/2,6.58,4.631,7.183,9.481,0.055
2016/2/3,6.58,4.717,7.311,9.606,0.056
2016/2/4,6.56,4.723,7.354,9.577,0.056
2016/2/5,6.57,4.643,7.333,9.522,0.056
2016/2/8,6.57,4.656,7.357,9.467,0.057
2016/2/9,6.57,4.646,7.415,9.522,0.057
2016/2/10,6.57,4.663,7.415,9.522,0.058
2016/2/11,6.57,4.670,7.441,9.467,0.059
2016/2/12,6.57,4.673,7.399,9.522,0.058
2016/2/16,6.52,4.637,7.269,9.328,0.057
2016/2/17,6.53,4.691,7.264,9.342,0.057
2016/2/18,6.52,4.667,7.244,9.328,0.057
2016/2/19,6.52,4.660,7.261,9.328,0.058
2016/2/22,6.52,4.711,7.189,9.261,0.058
2016/2/23,6.53,4.701,7.200,9.146,0.058
2016/2/24,6.53,4.698,7.192,9.082,0.059
2016/2/25,6.53,4.725,7.192,9.082,0.058
2016/2/26,6.54,4.661,7.148,9.096,0.057
2016/2/29,6.55,4.679,7.120,9.110,0.058
2016/3/1,6.55,4.699,7.120,9.110,0.057
2016/3/2,6.55,4.778,7.120,9.238,0.058
2016/3/3,6.53,4.801,7.152,9.276,0.058
2016/3/4,6.51,4.844,7.162,9.247,0.057
2016/3/7,6.52,4.869,7.181,9.328,0.057
2016/3/8,6.5,4.836,7.159,9.233,0.058
2016/3/9,6.51,4.873,7.162,9.247,0.058
2016/3/10,6.51,4.851,7.274,9.313,0.058
2016/3/11,6.49,4.909,7.243,9.352,0.057
2016/3/14,6.5,4.884,7.214,9.299,0.057
2016/3/15,6.51,4.855,7.233,9.247,0.058
2016/3/16,6.52,4.924,7.318,9.196,0.057
2016/3/17,6.47,4.950,7.319,9.377,0.058
2016/3/18,6.47,4.924,7.294,9.377,0.058
2016/3/21,6.48,4.909,7.281,9.337,0.058
2016/3/22,6.49,4.947,7.276,9.219,0.058
2016/3/23,6.5,4.895,7.271,9.168,0.058
2016/3/24,6.51,4.902,7.274,9.182,0.058
2016/3/25,6.51,4.887,7.274,9.182,0.058
2016/3/28,6.51,4.913,7.290,9.313,0.057
2016/3/29,6.51,4.966,7.348,9.313,0.057
2016/3/30,6.46,4.954,7.324,9.308,0.057
2016/3/31,6.45,4.939,7.338,9.294,0.057
2016/4/1,6.48,4.973,7.380,9.205,0.058
2016/4/4,6.48,4.928,7.380,9.270,0.058
2016/4/5,6.48,4.887,7.380,9.140,0.059
2016/4/6,6.48,4.924,7.389,9.205,0.059
2016/4/7,6.46,4.850,7.349,9.111,0.060
2016/4/8,6.46,4.883,7.366,9.111,0.060
2016/4/11,6.46,4.905,7.366,9.176,0.060
2016/4/12,6.46,4.965,7.358,9.176,0.060
2016/4/13,6.48,4.958,7.306,9.205,0.059
